estacion,cod_pluvio,fecha,mm
chuy,2422,01/01/2019,0.0
chuy,2422,01/02/2019,30.0
chuy,2422,01/03/2019,0.0
chuy,2422,01/04/2019,0.0
chuy,2422,01/05/2019,0.0
chuy,2422,01/06/2019,NA
chuy,2422,01/07/2019,NA
chuy,2422,01/08/2019,0.0
chuy,2422,01/09/2019,0.0
chuy,2422,01/10/2019,15.0
chuy,2422,01/11/2019,0.0
chuy,2422,01/12/2019,0.0
chuy,2422,01/13/2019,20.0
chuy,2422,01/14/2019,0.0
chuy,2422,01/15/2019,70.0
chuy,2422,01/16/2019,3.0
chuy,2422,01/17/2019,0.0
chuy,2422,01/18/2019,10.0
chuy,2422,01/19/2019,0.0
chuy,2422,01/20/2019,0.0
chuy,2422,01/21/2019,0.0
chuy,2422,01/22/2019,0.0
chuy,2422,01/23/2019,0.0
chuy,2422,01/24/2019,0.0
chuy,2422,01/25/2019,0.0
chuy,2422,01/26/2019,0.0
chuy,2422,01/27/2019,0.0
chuy,2422,01/28/2019,0.0
chuy,2422,01/29/2019,30.0
chuy,2422,01/30/2019,0.0
chuy,2422,01/31/2019,0.0
chuy,2422,02/01/2019,0.0
chuy,2422,02/02/2019,0.0
chuy,2422,02/03/2019,0.0
chuy,2422,02/04/2019,0.0
chuy,2422,02/05/2019,0.0
chuy,2422,02/06/2019,0.0
chuy,2422,02/07/2019,NA
chuy,2422,02/08/2019,0.0
chuy,2422,02/09/2019,1.0
chuy,2422,02/10/2019,0.0
chuy,2422,02/11/2019,40.0
chuy,2422,02/12/2019,0.0
chuy,2422,02/13/2019,0.0
chuy,2422,02/14/2019,0.5
chuy,2422,02/15/2019,0.0
chuy,2422,02/16/2019,0.0
chuy,2422,02/17/2019,0.0
chuy,2422,02/18/2019,5.0
chuy,2422,02/19/2019,0.0
chuy,2422,02/20/2019,0.0
chuy,2422,02/21/2019,0.0
chuy,2422,02/22/2019,0.0
chuy,2422,02/23/2019,NA
chuy,2422,02/24/2019,NA
chuy,2422,02/25/2019,0.0
chuy,2422,02/26/2019,0.0
chuy,2422,02/27/2019,0.0
chuy,2422,02/28/2019,0.0
chuy,2422,03/01/2019,0.0
chuy,2422,03/02/2019,0.0
chuy,2422,03/03/2019,0.0
chuy,2422,03/04/2019,0.0
chuy,2422,03/05/2019,0.0
chuy,2422,03/06/2019,0.0
chuy,2422,03/07/2019,NA
chuy,2422,03/08/2019,0.0
chuy,2422,03/09/2019,0.0
chuy,2422,03/10/2019,0.0
chuy,2422,03/11/2019,0.0
chuy,2422,03/12/2019,20.0
chuy,2422,03/13/2019,0.0
chuy,2422,03/14/2019,NA
chuy,2422,03/15/2019,0.0
chuy,2422,03/16/2019,NA
chuy,2422,03/17/2019,TRAZA
chuy,2422,03/18/2019,0.0
chuy,2422,03/19/2019,0.0
chuy,2422,03/20/2019,0.0
chuy,2422,03/21/2019,0.0
chuy,2422,03/22/2019,0.0
chuy,2422,03/23/2019,0.0
chuy,2422,03/24/2019,0.0
chuy,2422,03/25/2019,0.0
chuy,2422,03/26/2019,0.0
chuy,2422,03/27/2019,0.0
chuy,2422,03/28/2019,0.0
chuy,2422,03/29/2019,0.0
chuy,2422,03/30/2019,0.0
chuy,2422,03/31/2019,0.0
chuy,2422,04/01/2019,0.0
chuy,2422,04/02/2019,0.0
chuy,2422,04/03/2019,0.0
chuy,2422,04/04/2019,20.0
chuy,2422,04/05/2019,0.0
chuy,2422,04/06/2019,0.0
chuy,2422,04/07/2019,0.0
chuy,2422,04/08/2019,0.0
chuy,2422,04/09/2019,0.0
chuy,2422,04/10/2019,0.0
chuy,2422,04/11/2019,0.0
chuy,2422,04/12/2019,0.0
chuy,2422,04/13/2019,0.0
chuy,2422,04/14/2019,0.0
chuy,2422,04/15/2019,1.0
chuy,2422,04/16/2019,0.0
chuy,2422,04/17/2019,0.0
chuy,2422,04/18/2019,0.0
chuy,2422,04/19/2019,0.0
chuy,2422,04/20/2019,0.0
chuy,2422,04/21/2019,0.0
chuy,2422,04/22/2019,0.0
chuy,2422,04/23/2019,0.0
chuy,2422,04/24/2019,0.0
chuy,2422,04/25/2019,TRAZA
chuy,2422,04/26/2019,12.0
chuy,2422,04/27/2019,0.0
chuy,2422,04/28/2019,0.0
chuy,2422,04/29/2019,0.0
chuy,2422,04/30/2019,0.0
chuy,2422,05/01/2019,0.0
chuy,2422,05/02/2019,0.0
chuy,2422,05/03/2019,0.0
chuy,2422,05/04/2019,13.0
chuy,2422,05/05/2019,TRAZA
chuy,2422,05/06/2019,0.0
chuy,2422,05/07/2019,0.0
chuy,2422,05/08/2019,0.0
chuy,2422,05/09/2019,16.0
chuy,2422,05/10/2019,0.0
chuy,2422,05/11/2019,0.0
chuy,2422,05/12/2019,0.0
chuy,2422,05/13/2019,0.0
chuy,2422,05/14/2019,0.0
chuy,2422,05/15/2019,0.0
chuy,2422,05/16/2019,0.0
chuy,2422,05/17/2019,0.0
chuy,2422,05/18/2019,0.0
chuy,2422,05/19/2019,NA
chuy,2422,05/20/2019,24.6
chuy,2422,05/21/2019,29.1
chuy,2422,05/22/2019,0.0
chuy,2422,05/23/2019,0.0
chuy,2422,05/24/2019,0.0
chuy,2422,05/25/2019,0.0
chuy,2422,05/26/2019,0.0
chuy,2422,05/27/2019,0.0
chuy,2422,05/28/2019,0.0
chuy,2422,05/29/2019,0.0
chuy,2422,05/30/2019,0.0
chuy,2422,05/31/2019,0.0
chuy,2422,06/01/2019,0.0
chuy,2422,06/02/2019,0.0
chuy,2422,06/03/2019,0.0
chuy,2422,06/04/2019,0.0
chuy,2422,06/05/2019,0.0
chuy,2422,06/06/2019,0.0
chuy,2422,06/07/2019,0.0
chuy,2422,06/08/2019,0.0
chuy,2422,06/09/2019,TRAZA
chuy,2422,06/10/2019,65.0
chuy,2422,06/11/2019,NA
chuy,2422,06/12/2019,18.0
chuy,2422,06/13/2019,NA
chuy,2422,06/14/2019,28.0
chuy,2422,06/15/2019,NA
chuy,2422,06/16/2019,NA
chuy,2422,06/17/2019,1.0
chuy,2422,06/18/2019,TRAZA
chuy,2422,06/19/2019,0.0
chuy,2422,06/20/2019,0.0
chuy,2422,06/21/2019,0.0
chuy,2422,06/22/2019,0.0
chuy,2422,06/23/2019,0.0
chuy,2422,06/24/2019,2.0
chuy,2422,06/25/2019,0.0
chuy,2422,06/26/2019,0.0
chuy,2422,06/27/2019,0.0
chuy,2422,06/28/2019,14.6
chuy,2422,06/29/2019,18.9
chuy,2422,06/30/2019,0.0
chuy,2422,07/01/2019,0.0
chuy,2422,07/02/2019,0.0
chuy,2422,07/03/2019,0.0
chuy,2422,07/04/2019,0.0
chuy,2422,07/05/2019,2.6
chuy,2422,07/06/2019,0.0
chuy,2422,07/07/2019,0.0
chuy,2422,07/08/2019,0.0
chuy,2422,07/09/2019,0.0
chuy,2422,07/10/2019,TRAZA
chuy,2422,07/11/2019,15.0
chuy,2422,07/12/2019,4.6
chuy,2422,07/13/2019,0.0
chuy,2422,07/14/2019,0.0
chuy,2422,07/15/2019,0.0
chuy,2422,07/16/2019,0.0
chuy,2422,07/17/2019,0.0
chuy,2422,07/18/2019,0.0
chuy,2422,07/19/2019,0.0
chuy,2422,07/20/2019,0.0
chuy,2422,07/21/2019,19.6
chuy,2422,07/22/2019,21.6
chuy,2422,07/23/2019,5.0
chuy,2422,07/24/2019,0.0
chuy,2422,07/25/2019,44.0
chuy,2422,07/26/2019,0.0
chuy,2422,07/27/2019,0.0
chuy,2422,07/28/2019,0.0
chuy,2422,07/29/2019,0.0
chuy,2422,07/30/2019,0.0
