sitio,id_dispositivo,tipo_dispositivo,long,lat,fecha_puesta,fecha_retiro,esfuerzo,operativo,hora_puesta,hora_retiro,paisaje,uso_general,instalacion_en,marca,modelo,obs,obs2
CP,CP00_1,camera,-53.847418,-34.411259,2022-05-03,2022-07-31,,,10:10:00,12:19:00,,ganadero-turístico-forestal,tronco,Browning,,,
CP,CP00_2,camera,-53.84575,-34.410487,2022-05-03,2022-07-31,,,10:33:00,,,ganadero-turístico-forestal,tronco,Browning,,,
CP,CP01_0,sound,-53.852892,-34.418738,2022-05-29,2022-05-29,,,15:13:00,,,,,,,Grabador en pino maduro. Monte de pino maduro con sotobosque. ,
CP,CP01_1,camera,-53.855206,-34.419868,2022-05-29,2022-07-31,,,15:48:00,,,,estaca,Stealth,,,
CP,CP01_2,camera,-53.851338,-34.416773,2022-05-29,2022-07-31,,,16:18:00,,,,tronco,Browning,,,
CP,CP01_3,camera,-53.849277,-34.419646,2022-05-29,2022-07-31,,,16:40:00,11:07:00,,,tronco,Browning,,,
CP,CP02_0,sound,-53.858262,-34.401185,2022-05-30,2022-07-31,,,10:40:00,09:51:00,,,,,,Monte de pinos relativamente jóvenes (5-6 m). Mucho follaje abajo y mucha pinocha en sustrato. Aledaño a un trillo.,
CP,CP02_1,camera,-53.855988,-34.403291,2022-05-29,2022-07-31,,,10:56:00,10:02:00,,forestal,tronco,Browning,,,
CP,CP02_2,camera,-53.857552,-34.399182,2022-05-30,2022-07-31,,,11:27:00,10:14:00,,forestal,estaca,Browning,,,
CP,CP02_3,camera,-53.861368,-34.401718,2022-05-30,2022-07-31,,,11:53:00,09:38:00,,forestal,tronco,Browning,,,
CP,CP03_0,sound,-53.839534,-34.408259,2022-05-29,2022-07-31,,,15:17:00,12:58:00,,,,mini,,en acacia,
CP,CP03_1,camera,-53.837392,-34.406828,2022-05-29,2022-07-31,,,14:56:00,12:44:00,monte-pinus,forestal,tronco,Browning,,,
CP,CP03_2,camera,-53.841486,-34.407203,2022-05-29,2022-07-31,,,15:45:00,13:24:00,,,estaca,Browning,,,
CP,CP03_3,camera,-53.839139,-34.410124,2022-05-29,2022-07-31,,,16:14:00,13:10:00,,,tronco,Browning,,,
CP,CP05_0,sound,-53.820056,-34.394745,2022-05-28,2022-07-30,,,11:41:00,09:31:00,,,,micro,,,
CP,CP05_1,camera,-53.817135,-34.396245,2022-05-28,2022-07-30,,,11:54:00,09:50:00,,turistico,tronco,Browning,,,
CP,CP05_2,camera,-53.823021,-34.395491,2022-05-28,2022-07-30,,,12:16:00,09:52:00,,,tronco,Browning,,,
